index,sequence,camera_timestamp_us,system_recv_timestamp_us,camera_delta_us,system_delta_us,camera_to_system_ratio,target_x,target_y,target_z,error
1,7,10864436062,11243964173,,,,17.634117,-18.879074,291.453604,识别正常(1)
2,8,10864452504,11243984727,16442,20554,0.799942,17.634498,-18.880161,291.451791,识别正常(1)
3,9,10864468871,11244004209,16367,19482,0.840109,17.634413,-18.880276,291.452190,识别正常(1)
4,10,10864484938,11244026941,16067,22732,0.706801,17.634085,-18.882521,291.453686,识别正常(1)
5,11,10864501062,11244035311,16124,8370,1.926404,17.634109,-18.880919,291.453606,识别正常(1)
6,12,10864517713,11244054315,16651,19004,0.876184,17.634045,-18.879774,291.453927,识别正常(1)
7,13,10864534427,11244074273,16714,19958,0.837459,17.634015,-18.879802,291.454069,识别正常(1)
8,14,10864551067,11244084770,16640,10497,1.585215,17.633872,-18.884387,291.454649,识别正常(1)
9,15,10864567732,11244106077,16665,21307,0.782137,17.633970,-18.877593,291.454323,识别正常(1)
10,16,10864584453,11244127239,16721,21162,0.790143,17.634435,-18.880137,291.452090,识别正常(1)
11,17,10864601104,11244135778,16651,8539,1.949994,17.633853,-18.883050,291.454768,识别正常(1)
12,18,10864617719,11244155354,16615,19576,0.848743,17.634060,-18.881732,291.453820,识别正常(1)
13,19,10864634443,11244174481,16724,19127,0.874366,17.634305,-18.882557,291.452653,识别正常(1)
14,20,10864651059,11244184698,16616,10217,1.626309,17.634084,-18.879290,291.453752,识别正常(1)
15,21,10864670608,11244204882,19549,20184,0.968539,17.634506,-18.879057,291.451779,识别正常(1)
16,22,10864686958,11244215283,16350,10401,1.571964,17.634151,-18.879292,291.453440,识别正常(1)
17,23,10864704856,11244237753,17898,22470,0.796529,17.634062,-18.879291,291.453858,识别正常(1)
18,24,10864721947,11244254420,17091,16667,1.025439,17.634530,-18.877056,291.451703,识别正常(1)
19,25,10864738619,11244274286,16672,19866,0.839223,17.633796,-18.881118,291.455073,识别正常(1)
20,26,10864755018,11244284354,16399,10068,1.628824,17.633829,-18.880276,291.454934,识别正常(1)
21,27,10864771824,11244304435,16806,20081,0.836911,17.634652,-18.880181,291.451067,识别正常(1)
